actual,proposed
-2.3935000896453857,-2.3935000896453857
-2.374692678451538,-2.374692678451538
-2.3835535049438477,-2.3835535049438477
-2.405705451965332,-2.405705451965332
-2.392357587814331,-2.392357587814331
-2.4010729789733887,-2.4010729789733887
-2.418503522872925,-2.418503522872925
-2.43593430519104,-2.43593430519104
-2.43593430519104,-2.43593430519104
-2.386211395263672,-2.386211395263672
-2.3989944458007812,-2.3989944458007812
-2.3989944458007812,-2.3989944458007812
-2.4032557010650635,-2.3989944458007812
-2.4032557010650635,-2.4032557010650635
-2.3497300148010254,-2.4032557010650635
-2.3497300148010254,-2.3497300148010254
-2.3497300148010254,-2.3497300148010254
-2.353895902633667,-2.353895902633667
-2.315530776977539,-2.315530776977539
-2.319629192352295,-2.319629192352295
-2.319629192352295,-2.319629192352295
-2.323727607727051,-2.323727607727051
-2.323727607727051,-2.323727607727051
-2.284560441970825,-2.284560441970825
-2.284560441970825,-2.284560441970825
-2.284560441970825,-2.284560441970825
-2.276702880859375,-2.276702880859375
-2.2925684452056885,-2.2925684452056885
-2.2925684452056885,-2.2925684452056885
-2.2925684452056885,-2.2925684452056885
-2.232367753982544,-2.232367753982544
-2.243894577026367,-2.232367753982544
-2.243894577026367,-2.243894577026367
-2.243894577026367,-2.243894577026367
-2.16860294342041,-2.16860294342041
-2.1760170459747314,-2.16860294342041
-2.1760170459747314,-2.1760170459747314
-2.1834311485290527,-2.1834311485290527
-2.2019660472869873,-2.2019660472869873
-2.19771671295166,-2.19771671295166
-2.212392568588257,-2.212392568588257
-2.2344064712524414,-2.212392568588257
-2.195580005645752,-2.2344064712524414
-2.195580005645752,-2.195580005645752
-2.1991617679595947,-2.1991617679595947
-2.2027432918548584,-2.2027432918548584
-2.1093342304229736,-2.1093342304229736
-2.1093342304229736,-2.1093342304229736
-2.10244083404541,-2.10244083404541
-2.10244083404541,-2.10244083404541
-2.08520770072937,-2.08520770072937
-2.052830696105957,-2.052830696105957
-2.056229591369629,-2.056229591369629
-2.056229591369629,-2.056229591369629
-2.0596280097961426,-2.0596280097961426
-2.0458121299743652,-2.0458121299743652
-2.0458121299743652,-2.0458121299743652
-2.049165964126587,-2.049165964126587
-2.049165964126587,-2.049165964126587
-2.0185787677764893,-2.0185787677764893
-2.0251753330230713,-2.0251753330230713
-2.0317718982696533,-2.0317718982696533
-2.0482635498046875,-2.0482635498046875
-2.0233428478240967,-2.0233428478240967
-2.0363337993621826,-2.0363337993621826
-2.05257248878479,-2.05257248878479
-1.9922449588775635,-1.9922449588775635
-2.0016720294952393,-2.0016720294952393
-2.0142414569854736,-2.0142414569854736
-1.909875750541687,-2.0142414569854736
-1.909875750541687,-1.909875750541687
-1.915834665298462,-1.915834665298462
-1.9188143014907837,-1.9188143014907837
-1.8456403017044067,-1.8456403017044067
-1.8513633012771606,-1.8513633012771606
-1.854224681854248,-1.854224681854248
-1.794943928718567,-1.794943928718567
-1.8004753589630127,-1.8004753589630127
-1.8032411336898804,-1.8004753589630127
-1.8049132823944092,-1.8032411336898804
-1.8049132823944092,-1.8049132823944092
-1.813205361366272,-1.813205361366272
-1.8187334537506104,-1.8187334537506104
-1.7899740934371948,-1.8187334537506104
-1.7899740934371948,-1.7899740934371948
-1.795406460762024,-1.795406460762024
-1.8035551309585571,-1.8035551309585571
-1.8062713146209717,-1.8062713146209717
-1.8062713146209717,-1.8062713146209717
-1.8258916139602661,-1.8258916139602661
-1.8286291360855103,-1.8258916139602661
-1.8286291360855103,-1.8286291360855103
-1.8313666582107544,-1.8313666582107544
-1.8139060735702515,-1.8139060735702515
-1.8139060735702515,-1.8139060735702515
-1.7838815450668335,-1.7838815450668335
-1.7838815450668335,-1.7838815450668335
-1.7838815450668335,-1.7838815450668335
-1.7805204391479492,-1.7805204391479492
-1.7858275175094604,-1.7858275175094604
-1.7858275175094604,-1.7858275175094604
-1.7884809970855713,-1.7884809970855713
-1.685301661491394,-1.685301661491394
-1.6878020763397217,-1.6878020763397217
-1.6953034400939941,-1.6953034400939941
-1.6953034400939941,-1.6953034400939941
-1.7017688751220703,-1.7017688751220703
-1.7017688751220703,-1.7017688751220703
-1.7067815065383911,-1.7067815065383911
-1.7067815065383911,-1.7067815065383911
-1.659228801727295,-1.659228801727295
-1.6543700695037842,-1.6543700695037842
-1.6543700695037842,-1.6543700695037842
-1.6519407033920288,-1.6519407033920288
-1.6567994356155396,-1.6567994356155396
-1.5869176387786865,-1.5869176387786865
-1.5869176387786865,-1.5869176387786865
-1.5892378091812134,-1.5892378091812134
-1.5897799730300903,-1.5897799730300903
-1.5943881273269653,-1.5943881273269653
-1.5943881273269653,-1.5943881273269653
-1.5375133752822876,-1.6013001203536987
-1.5375133752822876,-1.5375133752822876
-1.5397193431854248,-1.5397193431854248
-1.5419251918792725,-1.5419251918792725
-1.5692176818847656,-1.5692176818847656
-1.571459412574768,-1.571459412574768
-1.571459412574768,-1.571459412574768
-1.575942873954773,-1.575942873954773
-1.5371177196502686,-1.5371177196502686
-1.5371177196502686,-1.5371177196502686
-1.539294958114624,-1.539294958114624
-1.539294958114624,-1.539294958114624
-1.548003911972046,-1.548003911972046
-1.5636446475982666,-1.5636446475982666
-1.5658377408981323,-1.5658377408981323
-1.568030834197998,-1.568030834197998
-1.5746099948883057,-1.5746099948883057
-1.529062032699585,-1.529062032699585
-1.531188726425171,-1.531188726425171
-1.5333154201507568,-1.5333154201507568
-1.4885103702545166,-1.4885103702545166
-1.4885103702545166,-1.4885103702545166
-1.5008630752563477,-1.5008630752563477
-1.5008630752563477,-1.5008630752563477
-1.4574819803237915,-1.4574819803237915
-1.4634634256362915,-1.4634634256362915
-1.4674512147903442,-1.4674512147903442
-1.4674512147903442,-1.4674512147903442
-1.4620054960250854,-1.4620054960250854
-1.4620054960250854,-1.4620054960250854
-1.4639917612075806,-1.4639917612075806
-1.4639917612075806,-1.4639917612075806
-1.4636582136154175,-1.4636582136154175
-1.4636582136154175,-1.4636582136154175
-1.4636582136154175,-1.4636582136154175
-1.4656442403793335,-1.4656442403793335
-1.4656442403793335,-1.4656442403793335
-1.4631414413452148,-1.4631414413452148
-1.4631414413452148,-1.4631414413452148
-1.467106580734253,-1.467106580734253
-1.4710718393325806,-1.4710718393325806
-1.4710718393325806,-1.4710718393325806
-1.4710718393325806,-1.4710718393325806
-1.4710718393325806,-1.4710718393325806
-1.4892433881759644,-1.4892433881759644
-1.4972501993179321,-1.4972501993179321
-1.5563018321990967,-1.5563018321990967
-1.5604521036148071,-1.5604521036148071
-1.5687522888183594,-1.5687522888183594
-1.5729024410247803,-1.5729024410247803
-1.673888921737671,-1.673888921737671
-1.6760884523391724,-1.6760884523391724
-1.6804876327514648,-1.6804876327514648
-1.6804876327514648,-1.6804876327514648
-1.7268791198730469,-1.7268791198730469
-1.7291336059570312,-1.7291336059570312
-1.7381511926651,-1.7381511926651
-1.7381511926651,-1.7381511926651
-1.7639507055282593,-1.7639507055282593
-1.7707875967025757,-1.7707875967025757
-1.7753456830978394,-1.7753456830978394
-1.8158961534500122,-1.7753456830978394
-1.8182153701782227,-1.8158961534500122
-1.8182153701782227,-1.8182153701782227
-1.8298109769821167,-1.8298109769821167
-1.8716977834701538,-1.8716977834701538
-1.8764303922653198,-1.8716977834701538
-1.8787964582443237,-1.8764303922653198
-1.8787964582443237,-1.8787964582443237
-1.8882615566253662,-1.8787964582443237
-1.8786808252334595,-1.8882615566253662
-1.8833832740783691,-1.8833832740783691
-1.8833832740783691,-1.8833832740783691
-1.888085961341858,-1.888085961341858
-1.935203194618225,-1.935203194618225
-1.937610149383545,-1.937610149383545
-1.937610149383545,-1.937610149383545
-1.9990367889404297,-1.9990367889404297
-2.0064773559570312,-2.0064773559570312
-2.0064773559570312,-2.0064773559570312
-2.0213584899902344,-2.0213584899902344
-2.1553773880004883,-2.1553773880004883
-2.1632916927337646,-2.1553773880004883
-2.1632916927337646,-2.1632916927337646
-2.19876766204834,-2.1817588806152344
-2.19876766204834,-2.19876766204834
-2.209376811981201,-2.209376811981201
-2.209376811981201,-2.209376811981201
-2.2173337936401367,-2.2173337936401367
-2.215745449066162,-2.215745449066162
-2.2210397720336914,-2.2210397720336914
-2.2289814949035645,-2.2289814949035645
-2.2644221782684326,-2.2644221782684326
-2.2644221782684326,-2.2644221782684326
-2.2751667499542236,-2.2751667499542236
-2.2751667499542236,-2.2751667499542236
-2.280539035797119,-2.280539035797119
-2.330548048019409,-2.330548048019409
-2.341489791870117,-2.341489791870117
-2.341489791870117,-2.341489791870117
-2.3469605445861816,-2.3469605445861816
-2.3469605445861816,-2.3469605445861816
-2.3469605445861816,-2.3469605445861816
-2.4907758235931396,-2.4907758235931396
-2.4907758235931396,-2.4907758235931396
-2.496568441390991,-2.496568441390991
-2.5052571296691895,-2.5052571296691895
-2.5052571296691895,-2.5052571296691895
-2.626210927963257,-2.626210927963257
-2.626210927963257,-2.626210927963257
-2.6322762966156006,-2.6322762966156006
-2.6353087425231934,-2.6353087425231934
-2.7286407947540283,-2.7286407947540283
-2.7286407947540283,-2.7286407947540283
-2.738039016723633,-2.738039016723633
-2.744304656982422,-2.744304656982422
-2.744304656982422,-2.744304656982422
-2.9568023681640625,-2.9568023681640625
-2.9568023681640625,-2.9568023681640625
-2.9668939113616943,-2.9635300636291504
-2.9668939113616943,-2.9668939113616943
-3.203495979309082,-3.203495979309082
-3.203495979309082,-3.203495979309082
-3.218024253845215,-3.218024253845215
-3.221656322479248,-3.221656322479248
-3.221656322479248,-3.221656322479248
-3.5215847492218018,-3.5215847492218018
-3.5295069217681885,-3.5295069217681885
-3.533468246459961,-3.533468246459961
-3.7623298168182373,-3.7623298168182373
-3.779125928878784,-3.779125928878784
-3.7917230129241943,-3.7917230129241943
-3.7917230129241943,-3.7917230129241943
-3.812718152999878,-3.812718152999878
-3.812718152999878,-3.812718152999878
-4.150678634643555,-4.150678634643555
-4.155239582061768,-4.155239582061768
-4.155239582061768,-4.155239582061768
-4.16436243057251,-4.16436243057251
-4.16436243057251,-4.16436243057251
-4.542218208312988,-4.542218208312988
-4.547176361083984,-4.547176361083984
-4.547176361083984,-4.547176361083984
-4.547176361083984,-4.547176361083984
-4.780495643615723,-4.780495643615723
-4.801280498504639,-4.78569221496582
-5.170845031738281,-5.170845031738281
-5.176416397094727,-5.176416397094727
-5.597583293914795,-5.597583293914795
-5.603595733642578,-5.597583293914795
-5.603595733642578,-5.603595733642578
-5.615621089935303,-5.615621089935303
-5.615621089935303,-5.615621089935303
-5.925680637359619,-5.9193501472473145
-5.925680637359619,-5.925680637359619
-5.938342571258545,-5.938342571258545
-6.245133876800537,-6.245133876800537
-6.271624565124512,-6.271624565124512
-6.291491985321045,-6.291491985321045
-6.291491985321045,-6.291491985321045
-6.3113603591918945,-6.3113603591918945
-6.529360771179199,-6.3113603591918945
-6.556680679321289,-6.529360771179199
-6.556680679321289,-6.556680679321289
-6.577169895172119,-6.577169895172119
-6.594151496887207,-6.594151496887207
-6.594151496887207,-6.594151496887207
-6.62828254699707,-6.62828254699707
-6.655587196350098,-6.655587196350098
-6.853907108306885,-6.853907108306885
-6.881938934326172,-6.881938934326172
-7.043604850769043,-7.043604850769043
-7.043604850769043,-7.043604850769043
-7.072207927703857,-7.072207927703857
-7.072207927703857,-7.072207927703857
-7.086509704589844,-7.086509704589844
-7.2275166511535645,-7.2275166511535645
-7.2275166511535645,-7.2275166511535645
-7.2275166511535645,-7.2275166511535645
-7.2275166511535645,-7.2275166511535645
-7.26401948928833,-7.26401948928833
-7.51625919342041,-7.51625919342041
-7.569084644317627,-7.569084644317627
-7.569084644317627,-7.569084644317627
-7.599270343780518,-7.599270343780518
-7.8875041007995605,-7.8875041007995605
-7.903123378753662,-7.903123378753662
-7.942170143127441,-7.942170143127441
-7.942170143127441,-7.942170143127441
-8.135557174682617,-8.135557174682617
