actual,proposed
-2.1760170459747314,-1.3831311464309692
-2.1834311485290527,-1.3831311464309692
-2.1834311485290527,-1.3878161907196045
-2.2019660472869873,-1.3878161907196045
-2.19771671295166,-1.3995274305343628
-2.19771671295166,-1.3968425989151
-2.212392568588257,-1.3968425989151
-2.212392568588257,-1.4061145782470703
-2.2344064712524414,-1.4061145782470703
-2.195580005645752,-1.4200204610824585
-2.195580005645752,-1.3954925537109375
-2.1991617679595947,-1.3954925537109375
-2.1991617679595947,-1.3977556228637695
-2.2027432918548584,-1.3977556228637695
-2.1093342304229736,-1.400018572807312
-2.1093342304229736,-1.340981125831604
-2.10244083404541,-1.3366225957870483
-2.08520770072937,-1.3366225957870483
-2.052830696105957,-1.3257254362106323
-2.052830696105957,-1.3052482604980469
-2.056229591369629,-1.3052482604980469
-2.056229591369629,-1.3073980808258057
-2.0596280097961426,-1.3073980808258057
-2.0458121299743652,-1.309547781944275
-2.0458121299743652,-1.3008086681365967
-2.049165964126587,-1.3008086681365967
-2.049165964126587,-1.3029301166534424
-2.049165964126587,-1.3029301166534424
-2.0185787677764893,-1.3029301166534424
-2.0185787677764893,-1.2835798263549805
-2.0251753330230713,-1.2835798263549805
-2.0251753330230713,-1.2877533435821533
-2.0482635498046875,-1.2919267416000366
-2.0482635498046875,-1.3023593425750732
-2.0233428478240967,-1.3023593425750732
-2.0233428478240967,-1.286594033241272
-2.0363337993621826,-1.2948126792907715
-2.05257248878479,-1.3050849437713623
-1.9922449588775635,-1.2669168710708618
-2.0016720294952393,-1.2669168710708618
-2.0142414569854736,-1.2728822231292725
-2.0142414569854736,-1.280835509300232
-1.909875750541687,-1.280835509300232
-1.909875750541687,-1.2147761583328247
-1.915834665298462,-1.2147761583328247
-1.9188143014907837,-1.218549370765686
-1.9188143014907837,-1.2204358577728271
-1.8456403017044067,-1.2204358577728271
-1.8456403017044067,-1.17409348487854
-1.8513633012771606,-1.17409348487854
-1.854224681854248,-1.1777187585830688
-1.854224681854248,-1.1795313358306885
-1.794943928718567,-1.1795313358306885
-1.794943928718567,-1.1419728994369507
-1.8004753589630127,-1.1419728994369507
-1.8032411336898804,-1.1454780101776123
-1.8032411336898804,-1.147230625152588
-1.8049132823944092,-1.147230625152588
-1.8049132823944092,-1.1482902765274048
-1.813205361366272,-1.1482902765274048
-1.8187334537506104,-1.1535444259643555
-1.8187334537506104,-1.157046914100647
-1.7899740934371948,-1.157046914100647
-1.7899740934371948,-1.1388235092163086
-1.795406460762024,-1.1388235092163086
-1.8035551309585571,-1.142266035079956
-1.8035551309585571,-1.1474295854568481
-1.8062713146209717,-1.1474295854568481
-1.8062713146209717,-1.1491507291793823
-1.8258916139602661,-1.1491507291793823
-1.8286291360855103,-1.1615822315216064
-1.8286291360855103,-1.1633166074752808
-1.8313666582107544,-1.1633166074752808
-1.8313666582107544,-1.165050983428955
-1.8111987113952637,-1.165050983428955
-1.8139060735702515,-1.1522729396820068
-1.8139060735702515,-1.1539883613586426
-1.8139060735702515,-1.1539883613586426
-1.8139060735702515,-1.1539883613586426
-1.7838815450668335,-1.1539883613586426
-1.7838815450668335,-1.1349624395370483
-1.7838815450668335,-1.1349624395370483
-1.7838815450668335,-1.1349624395370483
-1.7838815450668335,-1.1349624395370483
-1.7805204391479492,-1.1349624395370483
-1.7858275175094604,-1.132832407951355
-1.7858275175094604,-1.1361957788467407
-1.7884809970855713,-1.1361957788467407
-1.7884809970855713,-1.137877345085144
-1.685301661491394,-1.137877345085144
-1.6878020763397217,-1.0724685192108154
-1.6878020763397217,-1.0740541219711304
-1.6953034400939941,-1.0788108110427856
-1.7017688751220703,-1.0829105377197266
-1.7017688751220703,-1.0829105377197266
-1.7067815065383911,-1.0829105377197266
-1.7067815065383911,-1.08608877658844
-1.659228801727295,-1.08608877658844
-1.6543700695037842,-1.0559333562850952
-1.6543700695037842,-1.052851676940918
-1.6519407033920288,-1.052851676940918
-1.6519407033920288,-1.0513107776641846
-1.6567994356155396,-1.0513107776641846
-1.5869176387786865,-1.0543924570083618
-1.5869176387786865,-1.0100605487823486
-1.5892378091812134,-1.0100605487823486
-1.5892378091812134,-1.0115326642990112
-1.5938777923583984,-1.0115326642990112
-1.5897799730300903,-1.0144767761230469
-1.5897799730300903,-1.0118767023086548
-1.5943881273269653,-1.0118767023086548
-1.5943881273269653,-1.0148005485534668
-1.6013001203536987,-1.0148005485534668
